State,Crop,pH_Min,pH_Max,Soil_Type,Source_Level,Source_URL
Alabama,Barley,6,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
Alabama,Corn,5.8,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
Alabama,Cotton,5.8,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
Alabama,Sorghum,5.8,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
Alabama,Winter Wheat,6,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
Arkansas,Corn,5.8,6.5,both,State,https://www.uaex.uada.edu/publications/pdf/mp437/mp437.pdf
Arkansas,Cotton,5.8,6.5,both,State,https://www.uaex.uada.edu/publications/pdf/mp437/mp437.pdf
Arkansas,Rice,5,6.5,both,State,https://www.uaex.uada.edu/publications/pdf/mp192/chapter-9.pdf
Arkansas,Sorghum,5.8,6.5,both,State,https://www.uaex.uada.edu/publications/pdf/mp437/mp437.pdf
Arkansas,Winter Wheat,5.8,6.5,both,State,https://www.uaex.uada.edu/publications/pdf/mp404/chapter5wheat.pdf
Florida,Barley,6,6,both,State - UF/IFAS SL-129 Table 2 (small grains target pH),https://edis.ifas.ufl.edu/publication/SS163
Florida,Corn,6.5,6.5,both,State - UF/IFAS SL-129 Table 2,https://edis.ifas.ufl.edu/publication/SS163
Florida,Sorghum,6.5,6.5,both,State - UF/IFAS SL-129 Table 2,https://edis.ifas.ufl.edu/publication/SS163
Florida,Winter Wheat,6,6,both,State - UF/IFAS SL-129 Table 2,https://edis.ifas.ufl.edu/publication/SS163
Georgia,Barley,6,6,both,State,https://aesl.ces.uga.edu/publications/soil/cropsheets.pdf
Georgia,Corn,6,6.5,both,State,https://aesl.ces.uga.edu/publications/soil/cropsheets.pdf
