County_Num,County_Full,State_1,MostCom_Crop_Count,Crop,County,Average_Rec,Max_Rec,Notes and URL,Time_Checked,FID_1,OBJECTID,COUNT,AREA,MeanDeltaTimesTen,EBK_minus_avg_rec_mean,STDDeltaTimesTen,EBK_minus_avg_rec_STD,MEANEBKtimesTen,MeanEBK,STDEBKtimesTen,STDEBK,Total_Sum,Sum_Under_Average,Percentage_Under_Average,Hectares_Under,Acres_Under,Total_Sum,Sum_Under_Max,Percentage_Under_Max,Hectares_Under,Acres_Under
1,Autauga County,Alabama,114287,Other Hay/Non Alfalfa,Autauga,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",1,1,356763,321086700,-7.580046137,-0.758004614,1.238747117,0.123874712,56.41995386,5.641995386,1.238747117,0.123874712,356763,356763,100,32108.67,79342.18134,356763,356763,100,32108.67,79342.18134
2,Baldwin County,Alabama,114852,Sod/Grass Seed,Baldwin,6,6,"Add lime if below 5.5, for centipede grass https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",2,2,733662,660295800,-7.394091557,-0.739409156,0.55281741,0.055281741,52.60590844,5.260590844,0.55281741,0.055281741,733662,733662,100,66029.58,163162.5013,733662,733662,100,66029.58,163162.5013
3,Barbour County,Alabama,108086,Other Hay/Non Alfalfa,Barbour,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",3,3,436795,393115500,-4.773614625,-0.477361462,1.406698394,0.140669839,59.22638538,5.922638538,1.406698394,0.140669839,436795,436795,100,39311.55,97140.86971,436795,436795,100,39311.55,97140.86971
4,Bibb County,Alabama,21339,Other Hay/Non Alfalfa,Bibb,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",4,4,133520,120168000,-5.288698322,-0.528869832,1.272839709,0.127283971,58.71130168,5.871130168,1.272839709,0.127283971,133520,133510,99.99251049,12015.9,29691.90928,133520,133520,100,12016.8,29694.13323
5,Blount County,Alabama,77399,Other Hay/Non Alfalfa,Blount,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",5,5,628157,565341300,-10.73220548,-1.073220548,0.959273326,0.095927333,53.26779452,5.326779452,0.959273326,0.095927333,628157,628157,100,56534.13,139698.7541,628157,628157,100,56534.13,139698.7541
6,Bullock County,Alabama,49215,Other Hay/Non Alfalfa,Bullock,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",6,6,352056,316850400,-2.786207308,-0.278620731,1.879754269,0.187975427,61.21379269,6.121379269,1.879754269,0.187975427,352056,302619,85.95763174,27235.71,67300.84559,352056,352056,100,31685.04,78295.36974
7,Butler County,Alabama,63874,Other Hay/Non Alfalfa,Butler,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",7,7,229690,206721000,-9.260385737,-0.926038574,0.678199136,0.067819914,54.73961426,5.473961426,0.678199136,0.067819914,229690,229690,100,20672.1,51081.8264,229690,229690,100,20672.1,51081.8264
8,Calhoun County,Alabama,53943,Other Hay/Non Alfalfa,Calhoun,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",8,8,327386,294647400,-11.71003036,-1.171003036,0.511589168,0.051158917,52.28996964,5.228996964,0.511589168,0.051158917,327386,327386,100,29464.74,72808.89381,327386,327386,100,29464.74,72808.89381
9,Chambers County,Alabama,41250,Other Hay/Non Alfalfa,Chambers,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",9,9,237568,213811200,-7.950864595,-0.795086459,1.745659549,0.174565955,56.04913541,5.604913541,1.745659549,0.174565955,237568,237568,100,21381.12,52833.85143,237568,237568,100,21381.12,52833.85143
10,Cherokee County,Alabama,121841,Cotton,Cherokee,6.5,6.5,"Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",10,10,447392,402652800,-12.78440607,-1.278440607,1.217975334,0.121797533,52.21559393,5.221559393,1.217975334,0.121797533,447392,447392,100,40265.28,99497.58578,447392,447392,100,40265.28,99497.58578
11,Chilton County,Alabama,53661,Other Hay/Non Alfalfa,Chilton,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",11,11,362691,326421900,-8.445329495,-0.84453295,1.036212776,0.103621278,55.5546705,5.55546705,1.036212776,0.103621278,362691,362691,100,32642.19,80660.53681,362691,362691,100,32642.19,80660.53681
12,Choctaw County,Alabama,6300,Other Hay/Non Alfalfa,Choctaw,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",12,12,118851,106965900,-4.790746397,-0.47907464,2.192205293,0.219220529,59.2092536,5.92092536,2.192205293,0.219220529,118851,118851,100,10696.59,26431.82616,118851,118851,100,10696.59,26431.82616
