County_Num,County_Full,State_1,MostCom_Crop_Count,Crop,County,Average_Rec,Max_Rec,Notes and URL,Time_Checked,OBJECTID,FID_1,COUNT,AREA,MeanDeltaTimesTen,RF_minus_avg_rec_mean,STDDeltaTimesTen,RF_minus_avg_rec_STD,MEANRFtimesTen,MeanRF,STDRFtimesTen,STDRF,Total_Sum,Sum_Under_Average,Percentage_Under_Average,Hectares_Under,Acres_Under,Total_Sum,Sum_Under_Max,Percentage_Under_Max,Hectares_Under,Acres_Under
1,Autauga County,Alabama,114287,Other Hay/Non Alfalfa,Autauga,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",1,1,356763,321086700,-11.88472179,-1.188472179,1.740045342,0.174004534,52.11527821,5.211527821,1.740045342,0.174004534,356763,356763,100,32108.67,79342.18134,356763,356763,100,32108.67,79342.18134
2,Baldwin County,Alabama,114852,Sod/Grass Seed,Baldwin,6,6,"Add lime if below 5.5, for centipede grass https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",2,2,733662,660295800,-10.52529639,-1.052529639,3.627798068,0.362779807,49.47470361,4.947470361,3.627798068,0.362779807,733662,733662,100,66029.58,163162.5013,733662,733662,100,66029.58,163162.5013
3,Barbour County,Alabama,108086,Other Hay/Non Alfalfa,Barbour,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",3,3,436795,393115500,-12.31056445,-1.231056445,1.541315829,0.154131583,51.68943555,5.168943555,1.541315829,0.154131583,436795,436795,100,39311.55,97140.86971,436795,436795,100,39311.55,97140.86971
4,Bibb County,Alabama,21339,Other Hay/Non Alfalfa,Bibb,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",4,4,133520,120168000,-13.97425105,-1.397425105,1.713840399,0.17138404,50.02574895,5.002574895,1.713840399,0.17138404,133520,133520,100,12016.8,29694.13323,133520,133520,100,12016.8,29694.13323
5,Blount County,Alabama,77399,Other Hay/Non Alfalfa,Blount,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",5,5,628157,565341300,-8.840301071,-0.884030107,0.951843166,0.095184317,55.15969893,5.515969893,0.951843166,0.095184317,628157,628157,100,56534.13,139698.7541,628157,628157,100,56534.13,139698.7541
6,Bullock County,Alabama,49215,Other Hay/Non Alfalfa,Bullock,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",6,6,352056,316850400,-8.55547697,-0.855547697,3.7414283,0.37414283,55.44452303,5.544452303,3.7414283,0.37414283,352056,352056,100,31685.04,78295.36974,352056,352056,100,31685.04,78295.36974
7,Butler County,Alabama,63874,Other Hay/Non Alfalfa,Butler,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",7,7,229690,206721000,-13.33585267,-1.333585267,1.498578794,0.149857879,50.66414733,5.066414733,1.498578794,0.149857879,229690,229690,100,20672.1,51081.8264,229690,229690,100,20672.1,51081.8264
8,Calhoun County,Alabama,53943,Other Hay/Non Alfalfa,Calhoun,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",8,8,327386,294647400,-9.579447502,-0.95794475,1.634371821,0.163437182,54.4205525,5.44205525,1.634371821,0.163437182,327386,327386,100,29464.74,72808.89381,327386,327386,100,29464.74,72808.89381
9,Chambers County,Alabama,41250,Other Hay/Non Alfalfa,Chambers,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",9,9,237568,213811200,-12.85227808,-1.285227808,1.379446802,0.13794468,51.14772192,5.114772192,1.379446802,0.13794468,237568,237568,100,21381.12,52833.85143,237568,237568,100,21381.12,52833.85143
10,Cherokee County,Alabama,121841,Cotton,Cherokee,6.5,6.5,"Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",10,10,447392,402652800,-8.792834919,-0.879283492,1.233782857,0.123378286,56.20716508,5.620716508,1.233782857,0.123378286,447392,447392,100,40265.28,99497.58578,447392,447392,100,40265.28,99497.58578
