YEAR,State,County,crop_type,Area (Mha),Ninput (kg N/ha/yr),NUE (kg N/kg N),Recovered N (kg N/ha/yr),Nsurplus (kg N/ha/yr)
1970,ARIZONA,COCHISE,BARLEY,0.00264,51.50643525,1.829829604,94.248,-42.74156475
1970,ARIZONA,GRAHAM,BARLEY,0.0046,47.41812333,2.034361405,96.4656,-49.04747667
1970,ARIZONA,GREENLEE,BARLEY,0.00016,70.08399279,1.107471149,77.616,-7.53200721
1970,ARIZONA,MARICOPA,BARLEY,0.0308,128.890959,0.636593913,82.0512,46.83975903
1970,ARIZONA,MOHAVE,BARLEY,4.00E-04,145.4759862,0.495421972,72.072,73.40398617
1970,ARIZONA,PIMA,BARLEY,0.0046,95.57155851,0.835328012,79.8336,15.73795851
1970,ARIZONA,PINAL,BARLEY,0.0172,153.9303148,0.55465098,85.3776,68.55271482
1970,ARIZONA,SANTA CRUZ,BARLEY,0.00024,25.51040348,2.955594178,75.3984,-49.88799652
1970,ARIZONA,YAVAPAI,BARLEY,0.00016,304.9587051,0.218154127,66.528,238.4307051
1970,ARIZONA,YUMA,BARLEY,0.004,394.7183775,0.213490946,84.2688,310.4495775
1970,CALIFORNIA,ALAMEDA,BARLEY,0.0028,67.28520731,0.759686743,51.11568,16.16952731
1970,CALIFORNIA,AMADOR,BARLEY,8.00E-05,80.38973598,0.551712224,44.352,36.03773598
1970,CALIFORNIA,BUTTE,BARLEY,0.00572,70.67590452,0.707552034,50.00688,20.66902452
1970,CALIFORNIA,CALAVERAS,BARLEY,8.00E-05,228.4408003,0.194150957,44.352,184.0888003
1970,CALIFORNIA,COLUSA,BARLEY,0.00912,56.35467615,0.885392365,49.896,6.45867615
1970,CALIFORNIA,CONTRA COSTA,BARLEY,0.00592,46.82354355,1.323734073,61.98192,-15.15837645
1970,CALIFORNIA,FRESNO,BARLEY,0.07664,118.625157,0.57951957,68.7456,49.87955701
1970,CALIFORNIA,GLENN,BARLEY,0.00952,74.11449018,0.598425489,44.352,29.76249018
1970,CALIFORNIA,HUMBOLDT,BARLEY,8.00E-05,295.8801466,0.149898533,44.352,251.5281466
1970,CALIFORNIA,IMPERIAL,BARLEY,0.02452,70.22834321,1.138350648,79.94448,-9.71613679
1970,CALIFORNIA,KERN,BARLEY,0.02588,97.89546861,0.686377837,67.19328,30.70218861
1970,CALIFORNIA,KINGS,BARLEY,0.06092,80.8461673,0.822896152,66.528,14.3181673
1970,CALIFORNIA,LAKE,BARLEY,0.00064,97.63853922,0.406550941,39.69504,57.94349922
1970,CALIFORNIA,LASSEN,BARLEY,0.00164,18.4976243,2.475638993,45.79344,-27.2958157
1970,CALIFORNIA,LOS ANGELES,BARLEY,0.00332,108.8878199,0.276976434,30.15936,78.72845986
1970,CALIFORNIA,MADERA,BARLEY,0.0198,100.523966,0.386057192,38.808,61.71596596
1970,CALIFORNIA,MARIN,BARLEY,0.00012,101.7955676,0.381234674,38.808,62.98756764
1970,CALIFORNIA,MARIPOSA,BARLEY,0.00012,726.9283318,0.061012892,44.352,682.5763318
1970,CALIFORNIA,MENDOCINO,BARLEY,0.00036,87.07732826,0.495333526,43.13232,43.94500826
1970,CALIFORNIA,MERCED,BARLEY,0.01712,154.6379838,0.322663286,49.896,104.7419838
1970,CALIFORNIA,MODOC,BARLEY,0.008,23.6317405,2.679128945,63.31248,-39.6807395
