YEAR,State,County,crop_type,Area (Mha),Ninput (kg N/ha/yr),NUE (kg N/kg N),Recovered N (kg N/ha/yr),Nsurplus (kg N/ha/yr)
1970,ALABAMA,AUTAUGA,COTTON,0.00348,146.8045971,0.428974795,62.975472,83.82912506
1970,ALABAMA,BALDWIN,COTTON,0.000576,156.8533745,0.192887913,30.25512,126.5982545
1970,ALABAMA,BARBOUR,COTTON,0.00204,121.434994,0.244840396,29.732192,91.70280196
1970,ALABAMA,BIBB,COTTON,0.000832,65.97227049,0.670353888,44.224768,21.74750249
1970,ALABAMA,BLOUNT,COTTON,0.0036,112.7428233,0.308774102,34.812064,77.93075933
1970,ALABAMA,BULLOCK,COTTON,0.001624,97.1041831,0.153863608,14.9408,82.1633831
1970,ALABAMA,BUTLER,COTTON,0.00168,100.8008858,0.214179229,21.589456,79.21142977
1970,ALABAMA,CALHOUN,COTTON,0.00174,84.68044746,0.360814532,30.553936,54.12651146
1970,ALABAMA,CHAMBERS,COTTON,0.001028,59.74404285,0.462648302,27.64048,32.10356285
1970,ALABAMA,CHEROKEE,COTTON,0.00772,141.1651159,0.330747435,46.69,94.47511585
1970,ALABAMA,CHILTON,COTTON,0.00212,172.7699962,0.188521993,32.570944,140.1990522
1970,ALABAMA,CHOCTAW,COTTON,0.000988,71.80576728,0.298583927,21.440048,50.36571928
1970,ALABAMA,CLARKE,COTTON,0.000892,53.18424279,0.297780831,15.837248,37.34699479
1970,ALABAMA,CLAY,COTTON,4.00E-06,12.30684386,1.748194114,21.514752,-9.20790814
1970,ALABAMA,CLEBURNE,COTTON,1.00E-04,180.6790215,0.112048338,20.244784,160.4342375
1970,ALABAMA,COFFEE,COTTON,0.000596,101.5696323,0.147834581,15.015504,86.55412834
1970,ALABAMA,COLBERT,COTTON,0.00816,137.436759,0.306563224,42.133056,95.30370302
1970,ALABAMA,CONECUH,COTTON,0.00244,73.18694536,0.258244307,18.900112,54.28683336
1970,ALABAMA,COOSA,COTTON,5.60E-05,72.78800038,0.303791612,22.112384,50.67561638
1970,ALABAMA,COVINGTON,COTTON,0.00274,82.15971018,0.172758156,14.19376,67.96595018
1970,ALABAMA,CRENSHAW,COTTON,0.00044,117.2799189,0.135674992,15.911952,101.3679669
1970,ALABAMA,CULLMAN,COTTON,0.00608,80.94857927,0.343302974,27.789888,53.15869127
1970,ALABAMA,DALE,COTTON,0.000396,129.0561996,0.100719656,12.998496,116.0577036
1970,ALABAMA,DALLAS,COTTON,0.00736,86.64294728,0.44403568,38.47256,48.17038728
1970,ALABAMA,DE KALB,COTTON,0.00776,108.534847,0.313174256,33.99032,74.544527
1970,ALABAMA,ELMORE,COTTON,0.00462,124.1031096,0.349733574,43.403024,80.70008559
1970,ALABAMA,ESCAMBIA,COTTON,0.00288,131.1380973,0.270018375,35.409696,95.72840133
1970,ALABAMA,ETOWAH,COTTON,0.00264,67.41577065,0.619432747,41.759536,25.65623465
1970,ALABAMA,FAYETTE,COTTON,0.00204,71.50419085,0.546404225,39.070192,32.43399885
1970,ALABAMA,FRANKLIN,COTTON,0.00304,73.53455041,0.39112281,28.76104,44.77351041
1970,ALABAMA,GENEVA,COTTON,0.00364,101.5096608,0.180302839,18.30248,83.20718081
1970,ALABAMA,GREENE,COTTON,0.00366,57.14038857,0.539946486,30.852752,26.28763657
1970,ALABAMA,HALE,COTTON,0.00376,65.83259266,0.409647303,26.968144,38.86444866
