YEAR,State,County,crop_type,Area (Mha),Ninput (kg N/ha/yr),NUE (kg N/kg N),Recovered N (kg N/ha/yr),Nsurplus (kg N/ha/yr)
1970,MONTANA,BIG HORN,DURUM,4.00E-05,30.99019214,0.75461294,23.3856,7.60459214
1970,MONTANA,BLAINE,DURUM,2.00E-04,15.13064341,1.502645947,22.736,-7.60535659
1970,MONTANA,CARTER,DURUM,8.00E-05,5.14247616,4.294895944,22.0864,-16.94392384
1970,MONTANA,CASCADE,DURUM,0.00036,29.59155301,0.92199284,27.2832,2.30835301
1970,MONTANA,CHOUTEAU,DURUM,0.00088,24.77162787,1.547189398,38.3264,-13.55477213
1970,MONTANA,CUSTER,DURUM,8.00E-05,16.64071785,1.483397545,24.6848,-8.04408215
1970,MONTANA,DANIELS,DURUM,0.00164,10.90922779,2.50092862,27.2832,-16.37397221
1970,MONTANA,DAWSON,DURUM,0.00084,13.34751567,2.190070476,29.232,-15.88448433
1970,MONTANA,FALLON,DURUM,0.00032,10.49486222,2.154013986,22.60608,-12.11121778
1970,MONTANA,GALLATIN,DURUM,4.00E-05,35.42816616,0.733427745,25.984,9.44416616
1970,MONTANA,GLACIER,DURUM,0.00132,21.75249113,1.194529852,25.984,-4.23150887
1970,MONTANA,HILL,DURUM,0.00044,20.04416197,1.393562876,27.9328,-7.88863803
1970,MONTANA,LAKE,DURUM,8.00E-05,24.3114417,1.496316033,36.3776,-12.0661583
1970,MONTANA,LIBERTY,DURUM,0.00128,14.73825535,1.93933402,28.5824,-13.84414465
1970,MONTANA,MCCONE,DURUM,0.00188,14.04952168,2.90364903,40.79488,-26.74535832
1970,MONTANA,PARK,DURUM,0.00016,13.27552103,3.16101793,41.96416,-28.68863897
1970,MONTANA,PHILLIPS,DURUM,0.00012,14.27496588,1.610920838,22.99584,-8.72087412
1970,MONTANA,PONDERA,DURUM,0.00624,26.05168025,1.815271781,47.29088,-21.23919975
1970,MONTANA,RICHLAND,DURUM,0.00108,20.55934327,1.39023896,28.5824,-8.02305673
1970,MONTANA,ROOSEVELT,DURUM,0.00248,9.12458867,3.189412811,29.10208,-19.97749133
1970,MONTANA,SHERIDAN,DURUM,0.0268,8.790738,3.310538888,29.10208,-20.311342
