YEAR,State,County,crop_type,Area (Mha),Ninput (kg N/ha/yr),NUE (kg N/kg N),Recovered N (kg N/ha/yr),Nsurplus (kg N/ha/yr)
1970,CALIFORNIA,BUTTE,RICE,0.0232,104.9109818,0.677950762,71.12448,33.78650176
1970,CALIFORNIA,COLUSA,RICE,0.03316,85.54795088,0.846245401,72.39456,13.15339088
1970,CALIFORNIA,FRESNO,RICE,0.00604,164.1894145,0.394508259,64.77408,99.41533451
1970,CALIFORNIA,GLENN,RICE,0.01796,110.8815433,0.675808776,74.93472,35.94682328
1970,CALIFORNIA,KERN,RICE,0.00076,150.6102655,0.387913001,58.42368,92.18658546
1970,CALIFORNIA,KINGS,RICE,0.00012,103.7614407,0.587538488,60.96384,42.79760074
1970,CALIFORNIA,MADERA,RICE,0.00024,132.2963219,0.480013345,63.504,68.79232193
1970,CALIFORNIA,MERCED,RICE,0.00248,202.5730948,0.351105264,71.12448,131.4486148
1970,CALIFORNIA,PLACER,RICE,0.00164,34.25234426,2.113565117,72.39456,-38.14221574
1970,CALIFORNIA,SACRAMENTO,RICE,0.00376,76.91801899,0.990727543,76.2048,0.71321899
1970,CALIFORNIA,SAN JOAQUIN,RICE,0.00284,139.8086455,0.517811754,72.39456,67.41408549
1970,CALIFORNIA,STANISLAUS,RICE,8.00E-04,184.7402531,0.364372349,67.31424,117.4260131
1970,CALIFORNIA,SUTTER,RICE,0.02452,99.42917303,0.740875517,73.66464,25.76453303
1970,CALIFORNIA,TULARE,RICE,0.00028,156.1368009,0.333510612,52.07328,104.0635209
1970,CALIFORNIA,YOLO,RICE,0.0092,78.2010674,0.941990211,73.66464,4.5364274
1970,CALIFORNIA,YUBA,RICE,0.0062,138.1401169,0.524066156,72.39456,65.74555691
1970,LOUISIANA,ACADIA,RICE,0.0374,89.75617938,0.577333665,51.819264,37.93691538
1970,LOUISIANA,ALLEN,RICE,0.00994,96.16494665,0.541499598,52.07328,44.09166665
1970,LOUISIANA,AVOYELLES,RICE,0.00118,95.18227518,0.533746434,50.8032,44.37907518
1970,LOUISIANA,BEAUREGARD,RICE,0.001868,89.8950087,0.536882311,48.26304,41.6319687
1970,LOUISIANA,CALCASIEU,RICE,0.027,58.52183539,0.727039398,42.54768,15.97415539
1970,LOUISIANA,CAMERON,RICE,0.00504,70.21118149,0.691016088,48.517056,21.69412549
