YEAR,State,County,crop_type,Area (Mha),Ninput (kg N/ha/yr),NUE (kg N/kg N),Recovered N (kg N/ha/yr),Nsurplus (kg N/ha/yr)
1970,ARIZONA,APACHE,SORGHUM,0.00016,48.07201339,0.819590386,39.39936,8.67265339
1970,ARIZONA,COCHISE,SORGHUM,0.02188,27.55638666,2.306949775,63.5712,-36.01481334
1970,ARIZONA,GRAHAM,SORGHUM,0.00784,25.41035433,2.327240275,59.136,-33.72564567
1970,ARIZONA,GREENLEE,SORGHUM,0.00056,39.43972835,1.270743032,50.11776,-10.67803165
1970,ARIZONA,MARICOPA,SORGHUM,0.01772,74.69108646,0.554218742,41.3952,33.29588646
1970,ARIZONA,PIMA,SORGHUM,0.00648,63.53424198,0.744618941,47.3088,16.22544198
1970,ARIZONA,PINAL,SORGHUM,0.008,95.68534722,0.424892642,40.656,55.02934722
1970,ARIZONA,YUMA,SORGHUM,0.00684,208.6571161,0.233815174,48.7872,159.8699161
1970,COLORADO,ADAMS,SORGHUM,6.00E-04,23.4741264,1.007679672,23.6544,-0.1802736
1970,COLORADO,ARAPAHOE,SORGHUM,0.00168,13.39040551,2.097740802,28.0896,-14.69919449
1970,COLORADO,BACA,SORGHUM,0.046,11.28844296,2.324643008,26.2416,-14.95315704
1970,COLORADO,BENT,SORGHUM,0.0096,8.76131046,5.357554696,46.9392,-38.17788954
1970,COLORADO,BOULDER,SORGHUM,8.00E-05,10.93233584,3.042716624,33.264,-22.33166416
1970,COLORADO,CHAFFEE,SORGHUM,4.00E-05,0,NA,48.048,NA
1970,COLORADO,CHEYENNE,SORGHUM,0.0092,17.9360318,1.174574189,21.0672,-3.1311682
1970,COLORADO,CROWLEY,SORGHUM,0.00328,7.72507724,5.310704181,41.0256,-33.30052276
1970,COLORADO,EL PASO,SORGHUM,0.00356,7.80214227,2.273837029,17.7408,-9.93865773
1970,COLORADO,ELBERT,SORGHUM,0.00352,9.36264628,2.210657049,20.6976,-11.33495372
1970,COLORADO,KIOWA,SORGHUM,0.0086,20.0150356,1.144899288,22.9152,-2.9001644
1970,COLORADO,KIT CARSON,SORGHUM,0.0108,21.80611163,0.966114471,21.0672,0.73891163
1970,COLORADO,LARIMER,SORGHUM,0.00036,14.19972042,2.186409245,31.0464,-16.84667958
1970,COLORADO,LAS ANIMAS,SORGHUM,0.0026,15.14811066,0.902766048,13.6752,1.47291066
1970,COLORADO,LINCOLN,SORGHUM,0.0106,32.03108633,0.623094696,19.9584,12.07268633
1970,COLORADO,LOGAN,SORGHUM,0.00164,18.63061392,0.694341048,12.936,5.69461392
1970,COLORADO,MESA,SORGHUM,0.00052,17.25647548,3.298379212,56.9184,-39.66192452
