YEAR,State,County,crop_type,Area (Mha),Ninput (kg N/ha/yr),NUE (kg N/kg N),Recovered N (kg N/ha/yr),Nsurplus (kg N/ha/yr)
1970,COLORADO,ADAMS,SPRING WHEAT,0.001988,28.29930097,1.124776899,31.8304,-3.53109903
1970,COLORADO,ALAMOSA,SPRING WHEAT,6.40E-05,117.9869022,0.715740463,84.448,33.53890219
1970,COLORADO,ARAPAHOE,SPRING WHEAT,4.40E-05,9.76760362,2.793233741,27.2832,-17.51559638
1970,COLORADO,ARCHULETA,SPRING WHEAT,1.20E-05,68.09942418,0.620034611,42.224,25.87542418
1970,COLORADO,BACA,SPRING WHEAT,0.00024,12.65328042,1.437477033,18.1888,-5.53551958
1970,COLORADO,BOULDER,SPRING WHEAT,0.000188,14.04254247,2.775565756,38.976,-24.93345753
1970,COLORADO,CHEYENNE,SPRING WHEAT,3.60E-05,21.58022838,1.204065107,25.984,-4.40377162
1970,COLORADO,CONEJOS,SPRING WHEAT,0.000108,34.97150306,1.077357182,37.6768,-2.70529694
1970,COLORADO,COSTILLA,SPRING WHEAT,2.80E-05,272.7645202,0.123840153,33.7792,238.9853202
1970,COLORADO,DELTA,SPRING WHEAT,0.000104,22.13555814,2.347715819,51.968,-29.83244186
1970,COLORADO,DOLORES,SPRING WHEAT,2.40E-05,14.16401203,1.192430504,16.8896,-2.72558797
1970,COLORADO,DOUGLAS,SPRING WHEAT,1.60E-05,12.60626288,2.061197696,25.984,-13.37773712
1970,COLORADO,EAGLE,SPRING WHEAT,6.40E-05,39.36482232,1.287159373,50.6688,-11.30397768
1970,COLORADO,EL PASO,SPRING WHEAT,0.000196,4.84128035,5.635533997,27.2832,-22.44191965
1970,COLORADO,ELBERT,SPRING WHEAT,6.00E-05,6.50434566,2.99615073,19.488,-12.98365434
1970,COLORADO,GARFIELD,SPRING WHEAT,0.00048,28.30694557,1.331009024,37.6768,-9.36985443
1970,COLORADO,JACKSON,SPRING WHEAT,3.20E-05,66.6395724,0.389918468,25.984,40.6555724
1970,COLORADO,KIOWA,SPRING WHEAT,4.40E-05,24.17065734,1.021271356,24.6848,-0.51414266
1970,COLORADO,KIT CARSON,SPRING WHEAT,0.00022,21.57282652,1.415261926,30.5312,-8.95837348
1970,COLORADO,LA PLATA,SPRING WHEAT,0.000328,29.40955509,1.082314911,31.8304,-2.42084491
1970,COLORADO,LARIMER,SPRING WHEAT,0.000192,15.41778589,2.44372313,37.6768,-22.25901411
1970,COLORADO,LAS ANIMAS,SPRING WHEAT,0.000124,19.22612277,1.283919816,24.6848,-5.45867723
1970,COLORADO,LINCOLN,SPRING WHEAT,0.00016,39.83551773,0.423983444,16.8896,22.94591773
1970,COLORADO,LOGAN,SPRING WHEAT,4.00E-05,22.00078868,1.328679641,29.232,-7.23121132
1970,COLORADO,MESA,SPRING WHEAT,5.20E-05,19.02442457,2.629209615,50.0192,-30.99477543
1970,COLORADO,MOFFAT,SPRING WHEAT,0.00082,24.09982457,1.455545865,35.0784,-10.97857543
1970,COLORADO,MONTEZUMA,SPRING WHEAT,5.60E-05,16.42239891,2.017342301,33.1296,-16.70720109
1970,COLORADO,MONTROSE,SPRING WHEAT,0.000332,29.14495149,1.760798951,51.3184,-22.17344851
1970,COLORADO,MORGAN,SPRING WHEAT,1.00E-04,22.04101457,2.122007581,46.7712,-24.73018543
1970,COLORADO,OTERO,SPRING WHEAT,8.00E-06,9.03167044,4.315480758,38.976,-29.94432956
1970,COLORADO,OURAY,SPRING WHEAT,1.20E-05,0,NA,47.4208,NA
1970,COLORADO,PHILLIPS,SPRING WHEAT,3.20E-05,33.95667264,0.765210428,25.984,7.97267264
1970,COLORADO,PITKIN,SPRING WHEAT,4.00E-05,53.84583336,0.916869457,49.3696,4.47623336
1970,COLORADO,PROWERS,SPRING WHEAT,0.000268,18.00041683,2.165283191,38.976,-20.97558317
1970,COLORADO,PUEBLO,SPRING WHEAT,8.00E-05,11.12953817,1.63428165,18.1888,-7.05926183
1970,COLORADO,RIO BLANCO,SPRING WHEAT,0.000484,57.67879218,0.720791792,41.5744,16.10439218
1970,COLORADO,RIO GRANDE,SPRING WHEAT,0.000168,125.5748911,0.46557078,58.464,67.11089107
1970,COLORADO,ROUTT,SPRING WHEAT,0.00036,31.46781888,1.279885338,40.2752,-8.80738112
1970,COLORADO,SAGUACHE,SPRING WHEAT,3.20E-05,145.0973359,0.55514734,80.5504,64.54693588
1970,COLORADO,WASHINGTON,SPRING WHEAT,6.40E-05,40.75153823,0.637620103,25.984,14.76753823
1970,COLORADO,WELD,SPRING WHEAT,0.00132,18.53990872,1.681820578,31.1808,-12.64089128
1970,COLORADO,YUMA,SPRING WHEAT,0.00018,31.88522369,0.957534446,30.5312,1.35402369
1970,IDAHO,ADA,SPRING WHEAT,0.00048,30.13431404,2.332447983,70.28672,-40.15240596
1970,IDAHO,ADAMS,SPRING WHEAT,0.00012,7.79573916,6.716202136,52.35776,-44.56202084
1970,IDAHO,BANNOCK,SPRING WHEAT,0.00112,20.20023811,1.704375949,34.4288,-14.22856189
1970,IDAHO,BEAR LAKE,SPRING WHEAT,0.00232,5.54566854,5.786541292,32.09024,-26.54457146
1970,IDAHO,BENEWAH,SPRING WHEAT,0.00024,20.45171368,2.350433844,48.0704,-27.61868632
1970,IDAHO,BINGHAM,SPRING WHEAT,0.00616,101.916109,0.610616718,62.23168,39.68442902
1970,IDAHO,BLAINE,SPRING WHEAT,0.00092,29.54989108,1.837792222,54.30656,-24.75666892
1970,IDAHO,BOISE,SPRING WHEAT,4.00E-05,12.43850027,2.924596954,36.3776,-23.93909973
1970,IDAHO,BONNER,SPRING WHEAT,0.00016,10.81803941,3.482775258,37.6768,-26.85876059
1970,IDAHO,BONNEVILLE,SPRING WHEAT,0.00416,44.02472864,1.342736272,59.1136,-15.08887136
1970,IDAHO,BOUNDARY,SPRING WHEAT,0.00072,18.98459304,2.614195621,49.62944,-30.64484696
1970,IDAHO,BUTTE,SPRING WHEAT,0.00136,36.23172166,1.56341232,56.64512,-20.41339834
1970,IDAHO,CAMAS,SPRING WHEAT,0.0016,13.47596142,1.947455857,26.24384,-12.76787858
1970,IDAHO,CANYON,SPRING WHEAT,0.00176,62.83113028,1.261336532,79.2512,-16.42006972
1970,IDAHO,CARIBOU,SPRING WHEAT,0.00336,18.86999755,2.148121106,40.53504,-21.66504245
1970,IDAHO,CASSIA,SPRING WHEAT,0.00336,66.98981685,1.047275591,70.1568,-3.16698315
1970,IDAHO,CLARK,SPRING WHEAT,2.00E-04,168.2951179,0.318054621,53.52704,114.7680779
