ef_model,ph_model,ph_target,n_scenario,avoided_mean_kgN,avoided_sd_kgN,avoided_mean_CO2e,avoided_sd_CO2e
Qiu,EBK,Avg,NActual,900947.5155102998,3078245.299225269,386506484.1539186,1320567233.3676403
Qiu,EBK,Max,NActual,4958949.973506318,4332594.34572033,2127389538.6342106,1858682974.3140216
Qiu,RF,Avg,NActual,698604.1039678307,2891763.2497534663,299701160.6021994,1240566434.144237
Qiu,RF,Max,NActual,4907330.416729162,4706267.728538404,2105244748.7768106,2018988855.5429754
Wang,EBK,Avg,NActual,5967708.407404875,3121596.8065111754,2560146906.7766914,1339165029.9932942
Wang,EBK,Max,NActual,15024141.061388884,4173439.481877397,6445356515.335831,1790405537.7254033
Wang,RF,Avg,NActual,5256312.229947212,2914913.090263378,2254957946.647354,1250497715.722989
Wang,RF,Max,NActual,14596989.20600886,4519127.571379355,6262108369.377801,1938705728.1217434
Qiu,EBK,None,NReductionOnly,19292382.129102077,4749754.342755169,8276431933.384791,2037644613.0419674
Qiu,RF,None,NReductionOnly,19442131.756438952,4749766.861148927,8340674523.51231,2037649983.43289
Wang,EBK,None,NReductionOnly,21854024.604652412,4523324.9872432705,9375376555.395885,1940506419.527363
Wang,RF,None,NReductionOnly,22030746.469277132,4523095.9684450235,9451190235.31989,1940408170.4629152
Qiu,EBK,Avg,Combined,19973166.684829596,4749628.896516199,8568488507.791897,2037590796.6054494
Qiu,EBK,Max,Combined,23240343.158749443,4749423.192151497,9970107215.10351,2037502549.4329922
Qiu,RF,Avg,Combined,19941258.17307126,4749534.054378474,8554799756.247571,2037550109.3283653
Qiu,RF,Max,Combined,23327806.2600919,4749148.5393270645,10007628885.579426,2037384723.3713107
Wang,EBK,Avg,Combined,26590225.47403315,4521896.575420509,11407206728.360222,1939893630.8553984
Wang,EBK,Max,Combined,33769889.25140304,4520657.810375592,14487282488.851904,1939362200.6511288
Wang,RF,Avg,Combined,26195065.32887143,4521821.072144074,11237683026.085842,1939861239.949808
Wang,RF,Max,Combined,33601767.91893211,4520246.452202557,14415158437.221876,1939185727.994897
