state_abbr,state_name,areasymbol,areaname,histosol_acres,histosol_pct,mineral_pct,total_survey_acres,n_histosol_series,histosol_series
IA,Iowa,IA189,"Winnebago County, Iowa",12761.51,4.96,95.04,257100,4,"Boots, Houghton, Klossner, Muskego"
IA,Iowa,IA081,"Hancock County, Iowa",11198.31,3.05,96.95,366600,5,"Houghton, Klossner, Medo, Muskego, Palms"
IA,Iowa,IA063,"Emmet County, Iowa",6854.84,2.67,97.33,257000,3,"Aquolls, Klossner, Muskego"
IA,Iowa,IA195,"Worth County, Iowa",6041.7,2.35,97.65,257100,3,"Boots, Houghton, Klossner"
IA,Iowa,IA033,"Cerro Gordo County, Iowa",5756.65,1.56,98.44,368100,3,"Houghton, Klossner, Palms"
IA,Iowa,IA019,"Buchanan County, Iowa",5742.85,1.57,98.43,366800,2,"Houghton, Klossner"
IA,Iowa,IA037,"Chickasaw County, Iowa",4793.8,1.48,98.52,323300,2,"Houghton, Klossner"
IA,Iowa,IA065,"Fayette County, Iowa",4340.85,0.93,99.07,468100,2,"Houghton, Klossner"
IA,Iowa,IA109,"Kossuth County, Iowa",4102.2,0.66,99.34,624800,1,Klossner
IA,Iowa,IA055,"Delaware County, Iowa",3761.6,1.01,98.99,370800,2,"Houghton, Klossner"
IA,Iowa,IA089,"Howard County, Iowa",3295.95,1.09,98.91,302700,2,"Houghton, Klossner"
IA,Iowa,IA197,"Wright County, Iowa",3034.5,0.81,99.19,372400,2,"Klossner, Palms"
IA,Iowa,IA079,"Hamilton County, Iowa",2873.3,0.78,99.22,369600,3,"Aquents, Klossner, Palms"
IA,Iowa,IA023,"Butler County, Iowa",2669.1,0.72,99.28,372300,2,"Houghton, Klossner"
IA,Iowa,IA013,"Black Hawk County, Iowa",2381.95,0.65,99.35,366600,2,"Houghton, Klossner"
IA,Iowa,IA147,"Palo Alto County, Iowa",2355.1,0.65,99.35,363600,2,"Klossner, Marsh"
IA,Iowa,IA067,"Floyd County, Iowa",2319.5,0.72,99.28,320800,2,"Houghton, Klossner"
IA,Iowa,IA113,"Linn County, Iowa",2140.85,0.46,99.54,463700,2,"Houghton, Klossner"
IA,Iowa,IA069,"Franklin County, Iowa",2106.15,0.56,99.44,373000,2,"Houghton, Klossner"
IA,Iowa,IA017,"Bremer County, Iowa",1978.25,0.7,99.3,281100,2,"Houghton, Klossner"
IA,Iowa,IA071,"Fremont County, Iowa",1890.5,0.57,99.43,330800,1,Marsh
IA,Iowa,IA131,"Mitchell County, Iowa",1796.3,0.6,99.4,300500,2,"Houghton, Klossner"
IA,Iowa,IA191,"Winneshiek County, Iowa",1630.4,0.37,99.63,441500,2,"Houghton, Klossner"
IA,Iowa,IA075,"Grundy County, Iowa",1281.25,0.4,99.6,320800,2,"Houghton, Klossner"
IA,Iowa,IA045,"Clinton County, Iowa",1212.28,0.27,99.73,454100,3,"Houghton, Kerston, Klossner"
IA,Iowa,IA091,"Humboldt County, Iowa",1105.6,0.4,99.6,279400,1,Klossner
IA,Iowa,IA041,"Clay County, Iowa",845.83,0.23,99.77,366400,2,"Histosols, fens, Klossner"
IA,Iowa,IA139,"Muscatine County, Iowa",792.6,0.28,99.72,287500,4,"Aquolls, Houghton, Klossner, Palms"
IA,Iowa,IA011,"Benton County, Iowa",783.4,0.17,99.83,459800,2,"Houghton, Klossner"
IA,Iowa,IA105,"Jones County, Iowa",681.6,0.18,99.82,368800,2,"Houghton, Klossner"
IA,Iowa,IA015,"Boone County, Iowa",653.7,0.18,99.82,367200,2,"Klossner, Palms"
IA,Iowa,IA161,"Sac County, Iowa",591,0.16,99.84,370100,2,"Klossner, Marsh"
IA,Iowa,IA083,"Hardin County, Iowa",448.2,0.12,99.88,364400,1,Klossner
