ID,Studies,Publication title,Reference,Publication year,Replicates,Region,Country,Climate,Latitude (N positive; S negative),Longitude (E positive; W negative),Annual average precipitation (mm),Annual average temperature,Sand (%),Silt (%),Clay (%),Soil Organic Carbon (%),Nitrogen content (%),H2O_pH,EF (%),N rate (kg N/ha),Ecosystem
1,1,"Effectiveness of urease inhibition on the abatement of ammonia, nitrous oxide and nitric oxide emissions in a non-irrigated Mediterranean barley field",Abalos et al.,2012,2,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,0.096018,7.6,0.8,120,Cropland
2,2,Role of maize stover incorporation on nitrogen oxide emissions in a non-irrigated Mediterranean barley field,Abalos et al.,2013,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,0.08,7.6,0.450666667,150,Cropland
3,2,Role of maize stover incorporation on nitrogen oxide emissions in a non-irrigated Mediterranean barley field,Abalos et al.,2013,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,0.08,7.6,0.276933333,150,Cropland
4,2,Role of maize stover incorporation on nitrogen oxide emissions in a non-irrigated Mediterranean barley field,Abalos et al.,2013,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,0.08,7.6,0.7634,150,Cropland
5,2,Role of maize stover incorporation on nitrogen oxide emissions in a non-irrigated Mediterranean barley field,Abalos et al.,2013,3,Europe,Spain,Temperate,40.53,-3.28,430,13.2,55,17,28,0.82,0.08,7.6,0.411733333,150,Cropland
6,3,Management of irrigation frequency and nitrogen fertilization to mitigate GHG and NO emissions from drip-fertigated crops,Abalos et al.,2014,3,Europe,Spain,Temperate,40.53,-3.28,460,13.2,55,17,28,0.81,0.1,7.6,0.141392,125,Cropland
7,3,Management of irrigation frequency and nitrogen fertilization to mitigate GHG and NO emissions from drip-fertigated crops,Abalos et al.,2014,3,Europe,Spain,Temperate,40.53,-3.28,460,13.2,55,17,28,0.81,0.1,7.6,0.141672,125,Cropland
8,3,Management of irrigation frequency and nitrogen fertilization to mitigate GHG and NO emissions from drip-fertigated crops,Abalos et al.,2014,3,Europe,Spain,Temperate,40.53,-3.28,460,13.2,55,17,28,0.81,0.1,7.6,0.0648,125,Cropland
9,3,Management of irrigation frequency and nitrogen fertilization to mitigate GHG and NO emissions from drip-fertigated crops,Abalos et al.,2014,3,Europe,Spain,Temperate,40.53,-3.28,460,13.2,55,17,28,0.81,0.1,7.6,0.042504,125,Cropland
10,4,Rainfall amount and distribution regulate DMPP effects on nitrous oxide emissions under semiarid Mediteranean conditions,Abalos et al.,2016,4,Europe,Spain,Temperate,40.53,-3.28,419,13.8,55,17,28,0.82,0.08,7.6,0.07,120,Cropland
11,4,Rainfall amount and distribution regulate DMPP effects on nitrous oxide emissions under semiarid Mediteranean conditions,Abalos et al.,2016,4,Europe,Spain,Temperate,40.53,-3.28,419,13.8,55,17,28,0.82,0.08,7.6,0.08,120,Cropland
12,4,Rainfall amount and distribution regulate DMPP effects on nitrous oxide emissions under semiarid Mediteranean conditions,Abalos et al.,2016,4,Europe,Spain,Temperate,40.53,-3.28,419,13.8,55,17,28,0.82,0.08,7.6,0.18,120,Cropland
13,4,Rainfall amount and distribution regulate DMPP effects on nitrous oxide emissions under semiarid Mediteranean conditions,Abalos et al.,2016,4,Europe,Spain,Temperate,40.53,-3.28,419,13.8,55,17,28,0.82,0.08,7.6,0.07,120,Cropland
14,4,Rainfall amount and distribution regulate DMPP effects on nitrous oxide emissions under semiarid Mediteranean conditions,Abalos et al.,2016,4,Europe,Spain,Temperate,40.53,-3.28,419,13.8,55,17,28,0.82,0.08,7.6,0.02,120,Cropland
15,4,Rainfall amount and distribution regulate DMPP effects on nitrous oxide emissions under semiarid Mediteranean conditions,Abalos et al.,2016,4,Europe,Spain,Temperate,40.53,-3.28,419,13.8,55,17,28,0.82,0.08,7.6,0.08,120,Cropland
16,5,Application of the DNDC model to predict emissions of N2O from Irish agriculture,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,19,1.9,0.19,7,0.381428571,70,Cropland
17,5,Application of the DNDC model to predict emissions of N2O from Irish agriculture,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,19,1.9,0.19,7,0.561428571,140,Cropland
18,5,Application of the DNDC model to predict emissions of N2O from Irish agriculture,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,19,1.9,0.19,7,0.581428571,70,Cropland
19,5,Application of the DNDC model to predict emissions of N2O from Irish agriculture,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,19,1.9,0.19,7,0.636428571,140,Cropland
20,5,Application of the DNDC model to predict emissions of N2O from Irish agriculture,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,19,1.9,0.19,7,0.497468354,79,Cropland
21,5,Application of the DNDC model to predict emissions of N2O from Irish agriculture,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,19,1.9,0.19,7,0.555345912,159,Cropland
22,5,Application of the DNDC model to predict emissions of N2O from Irish agriculture,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,19,1.9,0.19,7,0.546835443,79,Cropland
23,5,Application of the DNDC model to predict emissions of N2O from Irish agriculture,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,19,1.9,0.19,7,0.580503145,159,Cropland
24,6,Nitrous oxide fluxes and denitrification sensitivity to temperature in Irish pasture soils,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,34,3.8,0.44,7.3,0.758,200,Grassland
25,6,Nitrous oxide fluxes and denitrification sensitivity to temperature in Irish pasture soils,Abdalla et al.,2009,4,Europe,Ireland,Temperate,53.43,-6.90,824,9.4,NA,NA,34,4.41,0.44,7.3,0.735,200,Grassland
26,7,Emisisons of nitrous oxide from Irish arable soils: effects of tillage and reduced N input,Abdalla et al.,2010,4,Europe,Ireland,Temperate,53.43,-6.90,830,9.3,68,20,12,1.94,0.19,7.4,0.357142857,70,Cropland
27,7,Emisisons of nitrous oxide from Irish arable soils: effects of tillage and reduced N input,Abdalla et al.,2010,4,Europe,Ireland,Temperate,53.43,-6.90,830,9.3,68,20,12,1.94,0.19,7.4,0.557142857,140,Cropland
28,7,Emisisons of nitrous oxide from Irish arable soils: effects of tillage and reduced N input,Abdalla et al.,2010,4,Europe,Ireland,Temperate,53.43,-6.90,830,9.3,68,20,12,1.94,0.19,7.4,0.571428571,70,Cropland
29,7,Emisisons of nitrous oxide from Irish arable soils: effects of tillage and reduced N input,Abdalla et al.,2010,4,Europe,Ireland,Temperate,53.43,-6.90,830,9.3,68,20,12,1.94,0.19,7.4,0.635714286,140,Cropland
30,7,Emisisons of nitrous oxide from Irish arable soils: effects of tillage and reduced N input,Abdalla et al.,2010,4,Europe,Ireland,Temperate,53.43,-6.90,830,9.3,68,20,12,1.94,0.19,7.4,0.291139241,79,Cropland
31,7,Emisisons of nitrous oxide from Irish arable soils: effects of tillage and reduced N input,Abdalla et al.,2010,4,Europe,Ireland,Temperate,53.43,-6.90,830,9.3,68,20,12,1.94,0.19,7.4,0.446540881,159,Cropland
32,7,Emisisons of nitrous oxide from Irish arable soils: effects of tillage and reduced N input,Abdalla et al.,2010,4,Europe,Ireland,Temperate,53.43,-6.90,830,9.3,68,20,12,1.94,0.19,7.4,0.367088608,79,Cropland
33,7,Emisisons of nitrous oxide from Irish arable soils: effects of tillage and reduced N input,Abdalla et al.,2010,4,Europe,Ireland,Temperate,53.43,-6.90,830,9.3,68,20,12,1.94,0.19,7.4,0.509433962,159,Cropland
34,8,How Effective is Reduced Tillage–Cover Crop Management in Reducing N2O Fluxes from Arable Crop Soils,Abdalla et al.,2012,4,Europe,Ireland,Temperate,53.43,-6.90,823,9.3,68,20,12,1.6,0.195,7,0.928571429,140,Cropland
35,8,How Effective is Reduced Tillage–Cover Crop Management in Reducing N2O Fluxes from Arable Crop Soils,Abdalla et al.,2012,4,Europe,Ireland,Temperate,53.43,-6.90,823,9.3,68,20,12,1.6,0.195,7,0.553571429,280,Cropland
36,8,How Effective is Reduced Tillage–Cover Crop Management in Reducing N2O Fluxes from Arable Crop Soils,Abdalla et al.,2012,4,Europe,Ireland,Temperate,53.43,-6.90,823,9.3,68,20,12,1.6,0.195,7,0.364285714,140,Cropland
37,8,How Effective is Reduced Tillage–Cover Crop Management in Reducing N2O Fluxes from Arable Crop Soils,Abdalla et al.,2012,4,Europe,Ireland,Temperate,53.43,-6.90,823,9.3,68,20,12,1.6,0.195,7,0.314285714,280,Cropland
38,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Temperate,39.50,-122.22,351,15.25,10,31,59,1.34,0.14,6.1,0.766,50,Cropland
39,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Temperate,39.50,-122.22,351,15.25,10,31,59,1.34,0.14,6.1,0.369,100,Cropland
